City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
150,Taoudenni,22.6783,-3.9836,102.07,10,0,2.98,clear sky
151,Saskylakh,71.9167,114.0833,43.66,69,100,7.09,overcast clouds
152,Chuy,-33.6971,-53.4616,52.52,87,6,4.97,clear sky
153,Yenagoa,4.9247,6.2642,74.03,95,100,2.8,overcast clouds
154,Jhanjharpur,26.2667,86.2833,79.79,85,0,8.72,clear sky
155,Geraldton,-28.7667,114.6,48.61,81,0,16.11,clear sky
156,Marsa Matruh,31.3525,27.2453,77.65,70,0,7.31,clear sky
157,Pahrump,36.2083,-115.9839,100.51,23,33,11.99,scattered clouds
158,Ampanihy,-24.7,44.75,64.49,55,0,5.66,clear sky
159,Matiri,-10.75,34.9,56.84,51,1,3.22,clear sky
160,Chokurdakh,70.6333,147.9167,49.66,71,100,9.86,overcast clouds
161,Praya,14.9215,-23.5087,81.14,74,20,11.5,few clouds
162,Chirongui,-12.9319,45.1483,69.73,64,0,8.97,clear sky
163,Nanortalik,60.1432,-45.2371,43.74,92,44,8.1,scattered clouds
164,Rocha,-34.4833,-54.3333,50.49,86,0,4.79,clear sky
165,Dakoro,14.5106,6.765,78.85,63,38,16.31,scattered clouds
166,Cacalchen,20.9833,-89.2333,80.6,45,47,5.35,scattered clouds
167,Kvarkeno,52.0833,59.725,65.25,78,99,7.38,light rain
168,Ixtapa,20.7,-105.2,82.65,82,99,3.98,overcast clouds
169,Hilo,19.7297,-155.09,93.27,85,84,4.0,broken clouds
170,Ridgetown,42.4334,-81.8998,71.46,43,0,18.19,clear sky
171,Ambon,-3.6954,128.1814,73.54,94,40,10.36,scattered clouds
172,Shinyanga,-3.6667,33.4333,70.23,50,87,13.56,overcast clouds
173,Alta Floresta,-9.8756,-56.0861,80.47,32,3,2.82,clear sky
174,Geilo,60.5333,8.2076,57.7,74,10,7.02,clear sky
175,Saint-Louis,16.3333,-15.0,92.84,42,14,10.63,light rain
176,Cascais,38.6979,-9.4215,70.93,76,0,10.0,clear sky
177,Takab,36.4009,47.1133,74.64,39,1,8.05,clear sky
178,Severo-Kurilsk,50.6789,156.125,56.1,96,97,12.64,overcast clouds
179,Narsaq,60.9167,-46.05,47.77,81,11,3.56,few clouds
180,Gigmoto,13.7796,124.39,80.08,84,97,1.68,overcast clouds
181,Kirov,58.5966,49.6601,54.52,82,75,6.08,broken clouds
182,Thompson,55.7435,-97.8558,78.96,44,40,11.5,scattered clouds
183,Coihaique,-45.5752,-72.0662,47.01,66,75,4.61,broken clouds
184,Cairo,30.0626,31.2497,81.36,74,0,9.22,clear sky
185,Sorland,67.667,12.6934,51.66,82,94,25.93,overcast clouds
186,San Cristobal,7.7669,-72.225,84.38,62,82,6.4,broken clouds
187,Saint-Joseph,-21.3667,55.6167,62.98,69,31,11.92,scattered clouds
188,Bodden Town,19.2833,-81.25,87.93,82,75,3.44,broken clouds
189,Codrington,-38.2667,141.9667,46.27,93,100,3.06,overcast clouds
190,Aurora,39.7294,-104.8319,98.26,21,20,5.75,few clouds
191,Verkhoyansk,67.5447,133.385,57.04,70,73,6.93,broken clouds
192,Ardakan,32.31,54.0175,81.68,16,0,6.55,clear sky
193,Sobolevo,54.4299,31.8996,57.56,72,0,7.0,clear sky
194,Tuatapere,-46.1333,167.6833,40.68,67,5,4.12,clear sky
195,Consett,54.854,-1.8316,68.25,70,36,3.0,scattered clouds
196,Lata,40.1629,-8.3327,60.22,94,0,1.1,clear sky
197,Nanfeng,23.7434,111.7959,74.64,97,5,2.19,clear sky
198,Marquard,-28.6645,27.4305,52.0,26,45,3.24,scattered clouds
199,Mayo,38.8876,-76.5119,89.46,52,72,1.99,broken clouds
200,Great Falls,47.5002,-111.3008,94.66,14,43,10.94,scattered clouds
201,Singapore,1.2897,103.8501,82.35,85,75,5.75,broken clouds
202,Kangaatsiaq,68.3065,-53.4641,38.07,86,31,3.53,scattered clouds
203,Askino,56.0901,56.5783,52.11,87,3,4.21,clear sky
204,Cherskiy,68.75,161.3,55.83,65,97,10.45,overcast clouds
205,Arraial Do Cabo,-22.9661,-42.0278,66.06,88,75,10.36,broken clouds
206,Port Lincoln,-34.7333,135.8667,53.19,81,77,15.3,broken clouds
207,Tsiroanomandidy,-18.7667,46.0333,57.33,68,0,6.22,clear sky
208,Nyurba,63.2842,118.3319,60.71,81,99,2.13,overcast clouds
209,Iskateley,67.6803,53.1512,58.32,95,100,14.79,moderate rain
210,Columbus,39.9612,-82.9988,78.87,68,100,1.01,overcast clouds
211,Qurayyat,31.3318,37.3428,78.98,41,0,11.5,clear sky
212,Jamestown,42.097,-79.2353,75.06,43,0,5.01,clear sky
213,Bethel,41.3712,-73.414,88.81,53,100,1.52,overcast clouds
214,Cockburn Town,21.4612,-71.1419,81.84,76,10,17.92,clear sky
215,Zhob,31.3411,69.4481,78.57,62,94,2.82,overcast clouds
216,Yinchuan,38.4681,106.2731,77.22,79,34,4.63,scattered clouds
217,Honningsvag,70.9821,25.9704,51.55,87,100,43.73,moderate rain
218,Mnogovershinnyy,53.9353,139.9242,53.91,98,100,1.95,overcast clouds
219,Tubuala,9.5167,-79.0333,80.53,83,100,6.67,overcast clouds
220,Pombas,17.1503,-25.0201,76.78,79,57,10.8,broken clouds
221,Hovd,48.0056,91.6419,62.64,52,3,3.0,clear sky
222,Vestmannaeyjar,63.4427,-20.2734,51.46,94,100,13.67,overcast clouds
223,Chengde,40.9725,117.9361,68.94,93,100,1.43,overcast clouds
224,Ribeira Grande,38.5167,-28.7,74.64,78,81,9.24,broken clouds
225,Kodiak,57.79,-152.4072,52.72,100,100,6.6,light rain
226,Lesosibirsk,58.2358,92.4828,48.34,82,1,4.88,clear sky
227,Edendale,-29.6528,30.3147,57.81,52,16,4.72,few clouds
228,Tabou,4.423,-7.3528,76.35,78,100,9.78,overcast clouds
229,Kodinar,20.7903,70.7031,79.72,91,100,22.32,overcast clouds
230,Los Llanos De Aridane,28.6585,-17.9182,69.55,89,20,14.97,few clouds
231,Coquimbo,-29.9533,-71.3436,55.13,82,100,6.91,overcast clouds
232,Trincomalee,8.5711,81.2335,81.18,76,100,17.94,overcast clouds
233,Batagay,67.6333,134.6333,55.0,74,85,6.6,overcast clouds
234,Itaituba,-4.2761,-55.9836,93.36,49,20,3.44,few clouds
235,Ostersund,63.1792,14.6357,54.05,100,75,3.44,drizzle
236,Marzuq,14.4,46.4667,79.23,65,100,7.07,overcast clouds
237,Mount Isa,-20.7333,139.5,62.37,39,91,6.91,overcast clouds
238,Cape Town,-33.9258,18.4232,59.38,78,75,17.27,broken clouds
239,Bar Harbor,44.3876,-68.2039,72.93,80,100,1.99,overcast clouds
240,Shorewood,41.52,-88.2017,80.31,48,0,12.66,clear sky
241,Luderitz,-26.6481,15.1594,55.96,86,47,8.99,scattered clouds
242,Santa Cruz,-17.8,-63.1667,76.46,31,0,9.22,clear sky
243,Bontang,0.1333,117.5,78.17,87,90,3.6,overcast clouds
244,Krasnoselkup,65.7,82.4667,47.82,73,98,4.45,overcast clouds
245,Potlogi,44.55,25.5833,73.27,43,37,3.62,scattered clouds
246,Meulaboh,4.1363,96.1285,77.09,85,100,1.86,overcast clouds
247,Kahului,20.8947,-156.47,87.96,71,100,17.0,overcast clouds
248,Manama,26.2154,50.5832,97.34,56,11,4.61,few clouds
249,Rosh Pinna,32.9689,35.5426,75.58,85,0,5.41,clear sky
250,Calca,-13.3333,-71.95,69.15,61,60,7.9,broken clouds
251,Chelmek,50.1016,19.248,60.46,84,64,5.17,broken clouds
252,Komsomolskiy,40.4272,71.7189,74.12,43,19,6.91,few clouds
253,Mahebourg,-20.4081,57.7,69.26,71,85,17.02,overcast clouds
254,Nakusp,50.2499,-117.8023,89.47,43,8,7.47,clear sky
255,Neiafu,-18.65,-173.9833,75.88,94,75,3.44,broken clouds
256,Constitucion,-35.3333,-72.4167,50.49,79,0,5.66,clear sky
257,Kieta,-6.2167,155.6333,81.19,75,100,1.57,overcast clouds
258,Mackay,-21.15,149.2,64.69,79,70,5.1,broken clouds
259,Cidreira,-30.1811,-50.2056,58.95,87,1,8.21,clear sky
260,Scarborough,54.2797,-0.4044,67.33,80,26,2.71,scattered clouds
261,Iquitos,-3.7481,-73.2472,82.42,69,84,1.23,broken clouds
262,Lompoc,34.6391,-120.4579,77.85,71,75,14.97,broken clouds
263,Neuquen,-38.9516,-68.0591,58.89,47,0,0.0,clear sky
264,Khani,41.9563,42.9566,65.77,90,17,2.24,few clouds
265,Djambala,-2.5447,14.7533,75.15,48,100,7.09,overcast clouds
266,Bondoukou,8.0333,-2.8,73.24,82,100,4.56,overcast clouds
267,Kizema,61.113,44.8302,59.83,70,100,8.9,overcast clouds
268,Lagoa,39.05,-27.9833,73.49,83,98,13.56,light rain
269,Arman,59.7,150.1667,59.02,87,98,1.39,overcast clouds
270,Saldanha,-33.0117,17.9442,55.98,88,100,10.54,overcast clouds
271,Kavaratti,10.5669,72.642,80.78,82,37,20.76,scattered clouds
272,Hithadhoo,-0.6,73.0833,81.55,74,5,6.91,heavy intensity rain
273,Abalak,58.1286,68.5944,59.63,98,72,5.01,moderate rain
274,Baniyas,35.1819,35.9487,78.3,78,18,6.55,few clouds
275,Tobane,-21.95,27.9,62.04,46,0,5.08,clear sky
276,Westport,41.1415,-73.3579,89.31,55,100,4.0,overcast clouds
277,Baykit,61.67,96.37,44.83,88,30,3.65,scattered clouds
278,Berdigestyakh,62.0989,126.6992,61.83,80,36,2.42,scattered clouds
279,Poum,-20.2333,164.0167,68.79,60,0,7.87,clear sky
280,Mayya,61.7333,130.2811,58.32,96,99,3.38,light rain
281,Havoysund,70.9963,24.6622,52.03,94,100,35.88,light rain
282,Whitecourt,54.1502,-115.6855,84.06,29,93,10.67,overcast clouds
283,Notodden,59.5594,9.2585,65.71,64,0,3.22,clear sky
284,Ndende,-2.4008,11.3581,72.82,72,94,4.41,overcast clouds
285,Ponnani,10.767,75.9252,74.52,86,97,4.61,overcast clouds
286,Nome,64.5011,-165.4064,52.16,89,100,7.34,overcast clouds
287,Casino,-28.8667,153.05,55.56,82,100,1.97,overcast clouds
288,Salalah,17.0151,54.0924,76.5,92,98,8.21,overcast clouds
289,Hirara,24.8,125.2833,79.07,94,75,2.3,broken clouds
290,Sabang,5.8933,95.3214,81.9,74,100,18.86,overcast clouds
291,Bengkulu,-3.8004,102.2655,76.01,91,40,3.65,scattered clouds
292,Bambous Virieux,-20.3428,57.7575,69.22,69,92,17.22,overcast clouds
293,Shouguang,36.88,118.7375,74.93,97,27,4.0,scattered clouds
294,Lons,43.3167,-0.4,82.62,65,0,4.61,clear sky
295,Namibe,-15.1961,12.1522,61.38,90,54,8.57,broken clouds
296,Ondarroa,43.3167,-2.4167,78.69,83,34,6.11,scattered clouds
297,Fairbanks,64.8378,-147.7164,69.03,45,25,3.11,scattered clouds
298,Novo Aripuana,-5.1206,-60.3797,85.73,42,79,1.95,broken clouds
299,Inhambane,-23.865,35.3833,68.63,78,0,8.79,clear sky
300,Tyukhtet,56.5389,89.3011,50.32,81,1,4.72,clear sky
301,Fort Nelson,58.8053,-122.7002,67.66,52,76,3.8,broken clouds
302,Dori,14.0354,-0.0345,89.71,49,59,14.79,broken clouds
303,Am Timan,11.0297,20.2827,71.08,92,100,4.63,overcast clouds
304,Gao,16.6362,1.637,86.0,51,57,20.71,broken clouds
305,Makakilo City,21.3469,-158.0858,84.56,62,75,14.97,broken clouds
306,Saint-Pierre,-21.3393,55.4781,68.92,67,20,5.75,few clouds
307,Broome,42.2506,-75.833,81.54,49,2,7.0,clear sky
308,Waipawa,-41.4122,175.5153,43.97,78,62,1.97,broken clouds
309,Celestun,20.8667,-90.4,85.62,66,26,11.14,scattered clouds
310,Valdivia,-39.8142,-73.2459,47.17,93,100,2.13,light rain
311,Aasiaat,68.7098,-52.8699,37.13,89,90,1.28,overcast clouds
312,Pemba,-12.974,40.5178,73.4,70,19,8.68,few clouds
313,East London,-33.0153,27.9116,63.3,76,85,4.59,overcast clouds
314,Sechura,-5.5569,-80.8222,72.97,59,70,16.26,broken clouds
315,New Norfolk,-42.7826,147.0587,42.91,85,98,1.74,overcast clouds
316,Tanete,-3.9443,119.7848,73.56,97,98,2.53,overcast clouds
317,Royan,45.6285,-1.0281,79.79,32,0,9.69,clear sky
318,Cabo San Lucas,22.8909,-109.9124,92.17,66,74,4.0,broken clouds
319,Victoria Point,-27.5833,153.3,60.82,96,100,1.99,overcast clouds
320,Shu,43.5983,73.7614,68.7,49,2,2.89,clear sky
321,Necochea,-38.5473,-58.7368,52.11,70,0,10.31,clear sky
322,Pevek,69.7008,170.3133,36.41,91,86,5.28,overcast clouds
323,Kiruna,67.8557,20.2251,47.32,71,100,14.97,overcast clouds
324,Bambanglipuro,-7.95,110.2833,75.38,92,69,4.14,broken clouds
325,Steamboat Springs,40.485,-106.8317,91.35,23,0,10.36,clear sky
326,Carmo Do Rio Claro,-20.9719,-46.1189,58.14,56,0,6.11,clear sky
327,Pacific Grove,36.6177,-121.9166,86.38,72,8,8.99,clear sky
328,Isangel,-19.55,169.2667,73.06,57,10,15.57,clear sky
329,Shimoda,34.6667,138.95,78.1,88,100,12.39,overcast clouds
330,Hambantota,6.1241,81.1185,77.34,100,20,9.22,few clouds
331,Cabinda,-5.55,12.2,69.19,94,100,5.82,overcast clouds
332,Walvis Bay,-22.9575,14.5053,52.09,75,0,9.73,clear sky
333,Boguchany,58.3814,97.4531,51.03,97,20,3.31,few clouds
334,Khatanga,71.9667,102.5,44.62,71,100,7.02,light rain
335,Rawson,-43.3002,-65.1023,55.06,42,15,6.58,few clouds
336,Tanout,14.9709,8.8879,84.0,57,48,18.59,scattered clouds
