City_ID,City,Max Temp,Current Conditions,Lat,Lng,Hotel Name
341,Bethanien,56.75,broken clouds,-26.502,17.1583,Bethanie Hotel
343,Morrope,68.11,broken clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
345,Payo,73.54,broken clouds,-3.7508,103.6372,Mess keban agung
346,Yevlax,76.93,clear sky,40.6089,47.1492,Yevlax Şeher Heyder Eliyev Parki
347,Sao Joao Da Barra,69.21,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
348,Luau,64.58,broken clouds,-10.7073,22.2247,Kimbo Hotel
349,Kamaishi,77.07,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
350,Estepona,76.82,clear sky,36.4276,-5.1459,H10 Estepona Palace
351,Xuchang,79.07,few clouds,34.0167,113.8167,Super 8 Hotel
352,Redford,79.95,broken clouds,42.3834,-83.2966,Americas Best Value Inn Livonia Detroit
353,Marystown,58.73,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
355,Hinton,62.15,overcast clouds,53.4001,-117.5857,Econo Lodge & Suites
358,Homer,60.04,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
359,Tungor,59.86,scattered clouds,53.3808,142.9564,
360,Zonguldak,62.62,broken clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
362,Caninde,77.85,broken clouds,-4.3589,-39.3117,Hotel Casa Grande II
363,Konstantinovskaya,71.89,clear sky,44.0456,43.1583,Complex Germes
365,Yaring,77.14,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
366,Turkeve,69.03,overcast clouds,47.1,20.75,Western Panzió
369,Alofi,78.15,scattered clouds,-19.0595,-169.9187,Taloa Heights
370,Kem,58.35,overcast clouds,64.9555,34.5793,Kuzova
371,Biak,75.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
375,Rundu,59.14,clear sky,-17.9333,19.7667,Millennia Estate
376,Sao Jose Da Coroa Grande,74.86,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
377,Kobryn,62.85,broken clouds,52.2138,24.3564,Suvorov-Apartamenty
378,Kvareli,74.93,broken clouds,41.9524,45.8151,Kvareli Eden
379,Molango,74.37,scattered clouds,20.7833,-98.7167,Hotel Huapango
384,Banda Aceh,78.19,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
385,Upington,59.4,scattered clouds,-28.4478,21.2561,River Place Manor
386,Suifenhe,60.21,clear sky,44.4,131.1667,Holiday Inn Suifenhe
387,Celendin,70.32,scattered clouds,-6.8703,-78.1517,Villa Madrid
388,Lyaskelya,61.56,overcast clouds,61.7667,31.0167,Manor Cafe
390,Amarkantak,67.46,light rain,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
391,Touros,76.33,few clouds,-5.1989,-35.4608,INN NEW HORIZON
394,Nortelandia,71.2,clear sky,-14.4547,-56.8028,Pousada e Restaurante Santana
395,Gweru,55.78,clear sky,-19.45,29.8167,Suskwe Lodges
398,Amurzet,61.27,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
400,Urumqi,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
401,Narrabri,55.53,light rain,-30.3167,149.7833,Crossroads Hotel
402,Petropavlovsk-Kamchatskiy,55.99,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
403,Sindgi,73.49,broken clouds,16.9167,76.2333,Sindagi
405,Belmonte,74.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
406,Kijang,79.54,overcast clouds,35.2442,129.2139,Samyang Beach Villa
407,Kingisepp,60.33,overcast clouds,59.3733,28.6134,Narva
408,Kuala Terengganu,78.62,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
409,Kutum,75.76,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
411,Teahupoo,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
412,Omboue,72.77,overcast clouds,-1.5746,9.2618,Hotel Olako
413,Oxelosund,61.18,clear sky,58.6706,17.1015,Stjärnholms Slott
414,Bindura,55.83,clear sky,-17.3019,31.3306,Mayfair Lodges and Restaurant
415,Mari,74.21,broken clouds,-7.06,-35.3194,Pousada Itapemirim / Agência De Viajem
416,Marawi,68.85,overcast clouds,7.9986,124.2928,Derogongan Residence
417,Flinders,57.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
418,Capreol,71.55,few clouds,46.706,-80.9225,
420,Pisco,62.65,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
421,Sitka,66.09,broken clouds,57.0531,-135.33,Westmark Sitka
423,Mawana,79.25,few clouds,29.1,77.9167,Gareeb Nawaz Hotel Mawana
424,Pratapgarh,73.8,overcast clouds,24.0333,74.7833,Ratna Hotel
425,Ajaccio,71.65,clear sky,42.0,8.9167,Sole E Monte
426,Changli,72.19,broken clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
428,Chara,56.93,broken clouds,56.9064,118.2631,
429,Linxia,68.4,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
433,Praia Da Vitoria,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
434,Srednekolymsk,65.5,broken clouds,67.45,153.6833,
435,Melfi,63.5,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
437,Amahai,75.99,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
439,Tambopata,74.46,clear sky,-12.7333,-69.1833,Enashawa Lodge
441,Yumen,77.22,clear sky,40.2833,97.2,
442,Port-Cartier,64.74,overcast clouds,50.0334,-66.8654,Le Q'Artier
444,Plettenberg Bay,56.16,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
445,Taksimo,56.07,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
447,Svetlaya,67.12,few clouds,46.5389,138.3297,
449,Altay,64.85,clear sky,47.8667,88.1167,Jinqiao Hotel
451,Tautira,77.32,light rain,-17.7333,-149.15,Pension Oaoa
453,Verkhnyaya Sysert,57.0,clear sky,56.4372,60.75,Hotel Greenwald
454,Tezu,78.58,broken clouds,27.9167,96.1667,Circuit House
455,Bredy,64.0,overcast clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
457,Port Shepstone,65.7,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
458,Abu Samrah,73.81,clear sky,35.3029,37.1841,
461,Lensk,57.65,overcast clouds,60.7253,114.9278,ТинОрС
462,Beipiao,69.94,overcast clouds,41.7919,120.7792,Beipiao Hotel
463,Uyemskiy,62.65,scattered clouds,64.4743,40.8524,Turkompleks Malyye Karely
464,Moose Factory,65.12,clear sky,51.2585,-80.6094,Moosonee Lilypad
467,Norman Wells,71.94,broken clouds,65.282,-126.8329,Heritage Hotel
469,Roald,61.16,broken clouds,62.5833,6.1333,Flem Cabins
470,Miri,78.35,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
472,Bandarbeyla,76.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
474,Rio Grande,56.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
476,Buin,64.44,clear sky,-33.7333,-70.75,Paihuen
479,Gornopravdinsk,59.23,overcast clouds,60.05,69.9,Hostel
480,Nizhniy Kuranakh,55.74,light rain,58.8353,125.4869,Park Pobedy
481,Kulu,70.88,clear sky,39.0951,33.0799,Kapadokya Motel
482,Sarkand,67.91,overcast clouds,45.41,79.9186,Гостиница Сарканд
484,Nelson Bay,55.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
486,Beloha,65.62,clear sky,-25.1667,45.05,
487,Leh,64.38,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
489,Vao,68.09,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
491,Vilhena,71.4,clear sky,-12.7406,-60.1458,Hotel Mirage
